=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.11.10 12:30:16 =~=~=~=~=~=~=~=~=~=~=~=
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0    127, 1176, 1161,   15,    0,   0.0128,  9.2598, 11.0504, -0.7083,  0.0289,  0.1050,
Q0    128, 1183, 1166,   15,    2,   0.0127,  9.2422, 11.0251, -0.7101,  0.0269,  0.1025,
Q0    129, 1192, 1177,   15,    0,   0.0126,  9.2403, 11.0527, -0.7123,  0.0267,  0.1053,
Q0    130, 1201, 1186,   15,    0,   0.0125,  9.2385, 11.0336, -0.7144,  0.0265,  0.1034,
Q0    131, 1210, 1194,   15,    1,   0.0124,  9.2366, 11.0294, -0.7165,  0.0263,  0.1029,
Q0    132, 1219, 1202,   15,    2,   0.0123,  9.2348, 11.0045, -0.7186,  0.0261,  0.1005,
Q0    133, 1229, 1214,   15,    0,   0.0122,  9.2406, 11.0297, -0.7209,  0.0267,  0.1030,
Q0    134, 1234, 1219,   15,    0,   0.0122,  9.2090, 11.0144, -0.7220,  0.0232,  0.1014,
Q0    135, 1238, 1223,   15,    0,   0.0121,  9.1704, 11.0156, -0.7229,  0.0189,  0.1016,
Q0    136, 1245, 1228,   15,    2,   0.0120,  9.1544, 10.9811, -0.7245,  0.0172,  0.0981,
Q0    137, 1253, 1238,   15,    0,   0.0120,  9.1460, 11.0183, -0.7263,  0.0162,  0.1018,
Q0    138, 1260, 1245,   15,    0,   0.0119,  9.1304, 10.9930, -0.7278,  0.0145,  0.0993,
Q0    139, 1271, 1255,   15,    1,   0.0118,  9.1439, 11.0231, -0.7301,  0.0160,  0.1023,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0    140, 1280, 1263,   15,    2,   0.0117,  9.1429, 11.0440, -0.7320,  0.0159,  0.1044,
Q0    141, 1293, 1278,   15,    0,   0.0116,  9.1702, 11.0828, -0.7347,  0.0189,  0.1083,
Q0    142, 1300, 1285,   15,    0,   0.0115,  9.1549, 11.0541, -0.7362,  0.0172,  0.1054,
Q0    143, 1308, 1290,   15,    3,   0.0115,  9.1469, 11.0191, -0.7378,  0.0163,  0.1019,
Q0    144, 1319, 1303,   15,    1,   0.0114,  9.1597, 11.0204, -0.7400,  0.0177,  0.1020,
Q0    145, 1328, 1312,   15,    1,   0.0113,  9.1586, 11.0405, -0.7417,  0.0176,  0.1040,
Q0    146, 1340, 1324,   15,    1,   0.0112,  9.1781, 11.0629, -0.7440,  0.0198,  0.1063,
Q0    147, 1352, 1330,   15,    7,   0.0111,  9.1973, 11.0575, -0.7463,  0.0219,  0.1058,
Q0    148, 1359, 1339,   16,    4,   0.0118,  9.1824, 11.0474, -0.7308,  0.0203,  0.1047,
Q0    149, 1373, 1356,   16,    1,   0.0117,  9.2148, 11.0893, -0.7335,  0.0239,  0.1089,
